id,name,album_id,artists_id,duration_ms,explicit,isrc,track_number
1IT0WQk5J8NsaeII8ktdlZ,King For A Day,661Hz0qJK8WIp7vAWsqKvk,"['4iJLPqClelZOBCBifm8Fzv', '3M9XAM57a4qFz3v6Lq27t2']",236293,True,US5261216604,4
0wcDNYK0YxqiODQ2UwnfsT,CROSS ME,7vKNtOYlGmXNbx4QN5Og0u,['3uPce3TKw7cjheMNhuhNs9'],181398,True,USSTT1900230,4
795M6PSmpncW2oh1CAFCpJ,Sodium,7vUSt58QJ68laxgrRViHdk,['75mafsNqNE1WSEVxIKuY5C'],231706,False,USC4R2105580,1
5h5n6mdcyAGH3Bkv6AFw49,Square One,6hXET2AFbfsqENDgr6VKUJ,['02nZLQtQ4vL5iHyp6atBrh'],189257,True,GBLFP2397905,1
6Nm8h73ycDG2saCnZV8poF,Dragula,2B4lHoTCpWbxQPTZmCOjnH,['3HVdAiMNjYrQIKlOGxoGh5'],222826,False,USGF19821203,3
2zAAXQbzIB5e2VpBiGI8SI,Into the Void,4OgyvunD0wEwor26qFeXr0,['4BKyei61gtyDFxlKhcvBJJ'],316701,False,QM5LC1900220,1
5IYf2klca6lYyOj7jhjF5j,Caterpillar,1su4sMJNmHerXssClObphO,['64uA1WO40WSspFUnUYirSt'],205200,False,QZFZ72164225,1
7CAbF0By0Fpnbiu6Xn5ZF7,Kingslayer (feat. BABYMETAL),0e1WaSNDZnoPixaxDNdWo4,"['1Ffb6ejR6Fe5IamqA5oRUF', '630wzNP2OL7fl4Xl0GnMWq']",220041,True,GBARL2001276,6
72gsO6toabLUqHCBIp6il8,It's Halloween,6ZHqRn2Ok9iPnEf27stDW2,"['71FIBhvBrEocQMF3DKDIEI', '0A51LEnyTnXX33IyuwM0Ts', '7HifubxN0gO1nHbRIqWhrY']",122143,False,QZRP52287500,6
1w2yLabkggvY64JilKWL73,Machi Bhasad,5FyTGmAKo6HBRGzB3NE4IY,['4HFpzehKjow2WqU4EJ6Wy9'],244555,False,QZES71952793,1
309M1lVXfZI27dDAeeJHtt,Fukstar,0AGZmPToQJuD4DTh6bFGQ2,['1NRudBLaT84LXxfsYdFMhB'],216253,True,USUM72210995,4
22UdbIgSutRXERGzirZc8Z,In Constraints,0PkxIDjdvpCvfJDucmDpce,['5ZPr0RHsR3DrAhtsYMsfHR'],139025,True,GBDHC2337201,1
2n6GxGqXp8sNRkSoelts7y,Club Anxious,1KmIlAUwYihKolZyF3kZHc,"['3l1Z9XFIBCJXaxfpussnIZ', '17Vw9uuOYB7XYjPt0LNFN0']",236885,True,QZGQV1900010,5
2JOYAjpbutUFqxHYncleLf,Super Fiend,0AGZmPToQJuD4DTh6bFGQ2,['1NRudBLaT84LXxfsYdFMhB'],208760,True,USUM72214393,2
6i9IwU1zrAQu46yZVCQJBd,D*E*S*T*R*O*Y,5c7w4meKrNJY5pT8n3Oskg,['08ET100WDKcE5HzPSWBJYg'],94612,True,TCAFO2164546,1
