id,name,genres,images
6vwjIs0tbIiseJMR3pqwiL,Beartooth,"['melodic metalcore', 'metalcore', 'pop punk']","['https://i.scdn.co/image/ab6761610000e5ebd2219c00e2fa1f2aaddcbf24', 'https://i.scdn.co/image/ab67616100005174d2219c00e2fa1f2aaddcbf24', 'https://i.scdn.co/image/ab6761610000f178d2219c00e2fa1f2aaddcbf24']"
62elZbH5Iop8UPcChp7OrU,Can't Swim,"['alternative emo', 'anthem emo', 'dreamo', 'emo', 'new jersey indie', 'pop punk']","['https://i.scdn.co/image/ab6761610000e5ebfc9b506323f1f698296c95b1', 'https://i.scdn.co/image/ab67616100005174fc9b506323f1f698296c95b1', 'https://i.scdn.co/image/ab6761610000f178fc9b506323f1f698296c95b1']"
4vATWjWf6AYUj0tyKD6sDM,Percival Schuttenbach,"['polish folk metal', 'polish metal', 'slavic folk metal', 'slavic metal']","['https://i.scdn.co/image/ab6761610000e5ebb8fe87ff1a728d4d399a863b', 'https://i.scdn.co/image/ab67616100005174b8fe87ff1a728d4d399a863b', 'https://i.scdn.co/image/ab6761610000f178b8fe87ff1a728d4d399a863b']"
6bu7CtcOMWcS0BMq7snHW6,Wage War,"['melodic metalcore', 'metalcore']","['https://i.scdn.co/image/ab6761610000e5ebcdb5a08eb788524df83e8c3e', 'https://i.scdn.co/image/ab67616100005174cdb5a08eb788524df83e8c3e', 'https://i.scdn.co/image/ab6761610000f178cdb5a08eb788524df83e8c3e']"
0A51LEnyTnXX33IyuwM0Ts,Rob Scallon,['instrumental bluegrass'],"['https://i.scdn.co/image/ab6761610000e5eb28044d7eb62da81bca708313', 'https://i.scdn.co/image/ab6761610000517428044d7eb62da81bca708313', 'https://i.scdn.co/image/ab6761610000f17828044d7eb62da81bca708313']"
02nZLQtQ4vL5iHyp6atBrh,Calva Louise,['english indie rock'],"['https://i.scdn.co/image/ab6761610000e5eb547ed29f76b74c160509ebc2', 'https://i.scdn.co/image/ab67616100005174547ed29f76b74c160509ebc2', 'https://i.scdn.co/image/ab6761610000f178547ed29f76b74c160509ebc2']"
2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'hard rock', 'nu metal', 'political hip hop', 'post-grunge', 'rap metal', 'rap rock', 'rock']","['https://i.scdn.co/image/ab6761610000e5ebda4bd2b213cae330e2a4a901', 'https://i.scdn.co/image/ab67616100005174da4bd2b213cae330e2a4a901', 'https://i.scdn.co/image/ab6761610000f178da4bd2b213cae330e2a4a901']"
165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']","['https://i.scdn.co/image/4654955890cb62a6abe9daadfd2b3ecdee8036e4', 'https://i.scdn.co/image/c8e241c3b7ddb2839be99acf9a1ad2d73f04b936', 'https://i.scdn.co/image/38532b2db9bc627567271da917855a59be788860', 'https://i.scdn.co/image/67ab66b1154c3115005086d60853fc954717a2ea']"
71FIBhvBrEocQMF3DKDIEI,First of October,[],"['https://i.scdn.co/image/ab67616d0000b273573391480a7e701ac8766b3a', 'https://i.scdn.co/image/ab67616d00001e02573391480a7e701ac8766b3a', 'https://i.scdn.co/image/ab67616d00004851573391480a7e701ac8766b3a']"
51NIL49MVTWeXEC8LoVrQ0,First Fragment,"['brutal death metal', 'quebec death metal', 'technical brutal death metal', 'technical death metal']","['https://i.scdn.co/image/ab6761610000e5eb4041a9df53611cbf22bf9974', 'https://i.scdn.co/image/ab676161000051744041a9df53611cbf22bf9974', 'https://i.scdn.co/image/ab6761610000f1784041a9df53611cbf22bf9974']"
